	samples,start,pitch,timbre,maxLoudness,maxLoudnessTime,startLoudness
,988321,0.0,0.7039661405555482,7.680145183599252,-46.96217417013298,0.19898854269007768,-59.17304313274737
,988321,0.5285587177141842,0.6724853665964812,129.62780464241885,-24.776237858954676,0.1142443053623267,-50.66183791197386
,988321,0.9193877912641745,0.5659316406309286,16.028142748155627,-23.1878754048533,0.08757381874917153,-34.486083286705444
,988198,1.2756844029637808,0.5266855134294949,-55.40633685556939,-22.033562694925536,0.08142896372994074,-32.799922161348185
,988119,1.6298432341246345,0.5273683716232557,47.730495074986266,-21.518206442746248,0.07801739692284024,-31.911980124863533
,988047,1.9835317398362626,0.5322747430031153,-4.544121928410294,-21.115187987008735,0.07494801224030846,-31.336919260925832
,987983,2.332408295719662,0.5365778803886305,22.98561723025606,-20.771942496986238,0.07292299113446284,-30.83281694927943
,987916,2.6793560021297345,0.5585897728146931,-3.2654283866239764,-20.419435098733096,0.0708822920977089,-30.46688495580599
,987859,3.0216825654572115,0.536773460584962,-25.215385919447815,-20.190323587677984,0.06975305356331203,-30.113726839559085
,987800,3.363013637234251,0.5252718930957679,21.04353948572583,-19.906779388540148,0.06806141960923266,-29.848850351285705
,987753,3.701079948944729,0.5203317944870831,3.067647575861571,-19.68894542360289,0.06701744561646497,-29.580317666461166
,987689,4.036045649490883,0.5391160668996012,-6.3193866287870195,-19.46573725130081,0.06592208206226859,-29.366672682392892
,987640,4.369575793892516,0.4209748511603418,26.63102865011538,-19.29865683548662,0.06508661787695906,-29.15148733647885
,987593,4.701705972804593,0.3969344152905091,25.132313647423604,-19.121540787551112,0.06415951430396938,-28.970759770472267
,987548,5.031382412844736,0.35579140760752836,13.501422713630143,-18.979706691725358,0.0632614657717903,-28.77487044477838
,987508,5.3585578689286635,0.30387451139636323,-45.305975013873265,-18.790610556066373,0.06296496919518614,-28.59393301421353
,987453,5.6843723821994505,0.3473346690931111,18.712743578681714,-18.672874817333092,0.06233705842202108,-28.426618737296884
,987413,6.007813605684754,0.32105111944039605,55.38752852048742,-18.536882748151005,0.06192304288073995,-28.26703864745549
,987371,6.328623491220631,0.3242367114286318,15.343910580723968,-18.39374789111692,0.06226007151313939,-28.084158059128693
,987317,6.648770287334249,0.35749035720037137,-2.079388289677985,-18.253591542533954,0.06156837400753762,-27.945066206699632
,987275,6.967884341495542,0.3237744711453244,-13.705973370134979,-18.159432355726626,0.0609832699805019,-27.816224662834554
,987226,7.28502751153231,0.35172981870412684,38.32373915699142,-18.031550541618635,0.06094667575610847,-27.701210695423395
,987172,7.59930813855135,0.3051650725506793,15.058152191310125,-17.92940106283406,0.06063882503758211,-27.574541886317714
,987121,7.913271958584625,0.3387671926744543,-0.09444334686426488,-17.805987682361142,0.060570810508539484,-27.43674619930083
,987059,8.226819573308173,0.39957528273385845,31.81171592984815,-17.70359251372007,0.060237754267981995,-27.314908791673037
,986996,8.538159663372518,0.37884768529963697,4.3698452384812105,-17.59415359231448,0.05988450098075375,-27.20557631945825
,986932,8.848504854528995,0.3452875152492771,10.012339557335258,-17.513175327175524,0.06030621327507865,-27.09215623366144
,986859,9.15822103911499,0.29077570048000817,8.06039604543304,-17.38223589388151,0.0598543631359698,-26.968096240699065
,986811,9.46703193371374,0.3405871428267416,5.729821714593788,-17.29868109293471,0.059690580546832205,-26.851541803850978
,986755,9.774554739018283,0.30958842367152856,1.4570838475609442,-17.230669278595,0.05951977935759127,-26.754639926830897
,986701,10.080773320468932,0.3125780545474257,-5.352193942237822,-17.126660349994584,0.05930884067209822,-26.63899072464709
,986637,10.385946110129675,0.34722525508368335,2.8436113616254053,-17.02148834171028,0.05964626091460186,-26.536717587116616
,986577,10.69056391618697,0.3102576190201071,-3.040370720176921,-16.96328409237192,0.05953430294847745,-26.414758204377378
,986510,10.994318051504813,0.34476833990532235,6.828662016603994,-16.8477860356205,0.05925894625497964,-26.299263806753075
,986449,11.29677112765079,0.29365638264117083,1.7995782336441102,-16.785202457501597,0.05913542613961807,-26.187215623919702
,986383,11.599012672085777,0.32491156781899083,3.05285121195317,-16.712820624443047,0.05914691911762469,-26.104740102982284
,986309,11.900060889974649,0.4000995681880625,33.10251171184689,-16.637802967427028,0.059205641051638,-26.026975369787785
,986231,12.2005731280704,0.37953817209152824,0.2912795582373707,-16.581374855383764,0.05902780380052935,-25.966973739418016
,986169,12.500286295634945,0.3468700476287534,11.320657525231475,-16.520797186891926,0.05884714108839357,-25.88764016005371
,986083,12.797201261952587,0.28977596916283904,14.509693523770324,-16.43958679847436,0.058801380340194595,-25.799388945960942
,986012,13.095266068384577,0.3394019991643101,4.058029144675717,-16.38787115268375,0.05885686299963897,-25.73640408838837
,985946,13.393376667119686,0.30674273844612193,-0.35642084454929573,-16.340137817892675,0.05884598412083429,-25.68909338239619
,985883,13.690110600152348,0.3087633441290698,-7.057240441309969,-16.26495162204847,0.05878448850421403,-25.61598110932028
